# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 249:         4.979       52.644      -2.40  BERKHOUT
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius);
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm);
#
# STN,YYYYMMDD,   TG,   RH
#
  249,20170101,   25,    3
  249,20170102,   29,    8
  249,20170103,   55,    6
  249,20170104,   53,    6
  249,20170105,   -3,   22
  249,20170106,  -19,    3
  249,20170107,   13,   14
  249,20170108,   44,    0
  249,20170109,   52,   51
  249,20170110,   53,   11
  249,20170111,   71,    6
  249,20170112,   47,  189
  249,20170113,   34,   73
  249,20170114,   18,   59
  249,20170115,    4,   11
  249,20170116,  -11,    0
  249,20170117,  -26,    0
  249,20170118,  -30,   -1
  249,20170119,  -23,    0
  249,20170120,  -13,    0
  249,20170121,   15,    0
  249,20170122,  -12,    0
  249,20170123,   -1,    4
  249,20170124,    2,    5
  249,20170125,   -7,    0
  249,20170126,  -11,    0
  249,20170127,    7,    0
  249,20170128,   44,    0
  249,20170129,   44,   21
  249,20170130,   40,   43
  249,20170131,   32,    0
  249,20170201,   29,    9
  249,20170202,   72,    6
  249,20170203,   74,   -1
  249,20170204,   50,   87
  249,20170205,   40,   16
  249,20170206,   34,    3
  249,20170207,   12,   19
  249,20170208,   -8,   15
  249,20170209,  -20,    1
  249,20170210,  -24,   -1
  249,20170211,   -6,   25
  249,20170212,   -3,   26
  249,20170213,   10,    0
  249,20170214,   20,    0
  249,20170215,   53,   -1
  249,20170216,   62,    0
  249,20170217,   68,    1
  249,20170218,   45,    0
  249,20170219,   68,    7
  249,20170220,   90,   13
  249,20170221,   84,   11
  249,20170222,   82,  116
  249,20170223,   72,  162
  249,20170224,   43,    2
  249,20170225,   58,   53
  249,20170226,   90,   12
  249,20170227,   82,   86
  249,20170228,   40,   47
  249,20170301,   55,    9
  249,20170302,   58,   58
  249,20170303,   55,    4
  249,20170304,   82,   28
  249,20170305,   71,   35
  249,20170306,   56,   -1
  249,20170307,   60,    0
  249,20170308,   59,  102
  249,20170309,   64,    3
  249,20170310,   60,    0
  249,20170311,   72,    0
  249,20170312,   80,    0
  249,20170313,   57,    0
  249,20170314,   79,    0
  249,20170315,   77,    0
  249,20170316,   93,    0
  249,20170317,   75,   56
  249,20170318,   85,   36
  249,20170319,  104,   13
  249,20170320,   95,   31
  249,20170321,   67,    0
  249,20170322,   70,    0
  249,20170323,   75,    0
  249,20170324,   72,    0
  249,20170325,   64,    0
  249,20170326,   69,    0
  249,20170327,   82,    0
  249,20170328,  102,    0
  249,20170329,  110,   14
  249,20170330,  146,   -1
  249,20170331,  131,    4
  249,20170401,   98,    1
  249,20170402,   96,    0
  249,20170403,   79,    0
  249,20170404,   92,    0
  249,20170405,   83,    0
  249,20170406,   73,   -1
  249,20170407,  100,    0
  249,20170408,   91,    0
  249,20170409,  122,    0
  249,20170410,   85,    0
  249,20170411,   91,    0
  249,20170412,   91,   14
  249,20170413,   76,    0
  249,20170414,   94,   12
  249,20170415,   85,   21
  249,20170416,   69,    8
  249,20170417,   57,    9
  249,20170418,   54,   19
  249,20170419,   39,    0
  249,20170420,   66,    0
  249,20170421,  103,    9
  249,20170422,   68,   -1
  249,20170423,   65,   -1
  249,20170424,   82,   63
  249,20170425,   50,   28
  249,20170426,   42,    3
  249,20170427,   58,   38
  249,20170428,   70,   11
  249,20170429,   71,    4
  249,20170430,  119,    0
  249,20170501,  105,   26
  249,20170502,  102,   23
  249,20170503,  103,    5
  249,20170504,   93,    5
  249,20170505,   92,   -1
  249,20170506,  114,    0
  249,20170507,  109,   -1
  249,20170508,   88,   -1
  249,20170509,   78,    0
  249,20170510,   83,    0
  249,20170511,  151,   -1
  249,20170512,  149,  124
  249,20170513,  136,   58
  249,20170514,  132,    5
  249,20170515,  149,   -1
  249,20170516,  191,    2
  249,20170517,  211,   -1
  249,20170518,  145,   12
  249,20170519,  129,   24
  249,20170520,  127,   34
  249,20170521,  134,    0
  249,20170522,  168,    0
  249,20170523,  143,    0
  249,20170524,  145,    0
  249,20170525,  154,    0
  249,20170526,  189,    0
  249,20170527,  218,    0
  249,20170528,  175,    0
  249,20170529,  187,   28
  249,20170530,  164,    0
  249,20170531,  150,    0
  249,20170601,  149,    0
  249,20170602,  183,   -1
