"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GGDEBT","TOT","PC_GDP","A","2015",100.7969,
"BEL","GGDEBT","TOT","PC_GDP","A","2015",127.6674,
"CZE","GGDEBT","TOT","PC_GDP","A","2015",52.01303,
"DNK","GGDEBT","TOT","PC_GDP","A","2015",53.78791,
"FIN","GGDEBT","TOT","PC_GDP","A","2015",75.18225,
"FRA","GGDEBT","TOT","PC_GDP","A","2015",120.8252,
"DEU","GGDEBT","TOT","PC_GDP","A","2015",78.96413,
"GRC","GGDEBT","TOT","PC_GDP","A","2015",182.9426,
"HUN","GGDEBT","TOT","PC_GDP","A","2015",97.27596,
"IRL","GGDEBT","TOT","PC_GDP","A","2015",88.51808,
"ITA","GGDEBT","TOT","PC_GDP","A","2015",157.0335,
"LUX","GGDEBT","TOT","PC_GDP","A","2015",29.43433,
"NLD","GGDEBT","TOT","PC_GDP","A","2015",78.76749,
"POL","GGDEBT","TOT","PC_GDP","A","2015",69.84199,
"PRT","GGDEBT","TOT","PC_GDP","A","2015",149.1519,
"SVK","GGDEBT","TOT","PC_GDP","A","2015",59.67639,
"ESP","GGDEBT","TOT","PC_GDP","A","2015",116.3134,
"SWE","GGDEBT","TOT","PC_GDP","A","2015",61.56124,
"GBR","GGDEBT","TOT","PC_GDP","A","2015",109.4453,
"EST","GGDEBT","TOT","PC_GDP","A","2015",12.75324,
"SVN","GGDEBT","TOT","PC_GDP","A","2015",102.3621,
"LVA","GGDEBT","TOT","PC_GDP","A","2015",41.0562,
"LTU","GGDEBT","TOT","PC_GDP","A","2015",53.95063,
