"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value"
"AUS","TRADEGOOD","EXP","MLN_USD","A","2014",240405.1
"AUT","TRADEGOOD","EXP","MLN_USD","A","2014",167318.3
"AUT","TRADEGOOD","IMP","MLN_USD","A","2014",166206.5
"BEL","TRADEGOOD","EXP","MLN_USD","A","2014",310312.5
"BEL","TRADEGOOD","IMP","MLN_USD","A","2014",317347.2
"CAN","TRADEGOOD","EXP","MLN_USD","A","2014",479168
"CAN","TRADEGOOD","IMP","MLN_USD","A","2014",474937.9
"CZE","TRADEGOOD","EXP","MLN_USD","A","2014",146442.3
"CZE","TRADEGOOD","IMP","MLN_USD","A","2014",135846.1
"DNK","TRADEGOOD","EXP","MLN_USD","A","2014",119208.8
"DNK","TRADEGOOD","IMP","MLN_USD","A","2014",103322.9
"FIN","TRADEGOOD","EXP","MLN_USD","A","2014",75360.71
"FIN","TRADEGOOD","IMP","MLN_USD","A","2014",72985.74
"FRA","TRADEGOOD","EXP","MLN_USD","A","2014",580107.3
"FRA","TRADEGOOD","IMP","MLN_USD","A","2014",636717.6
"DEU","TRADEGOOD","EXP","MLN_USD","A","2014",1479837
"DEU","TRADEGOOD","IMP","MLN_USD","A","2014",1177082
"GRC","TRADEGOOD","EXP","MLN_USD","A","2014",35538.24
"GRC","TRADEGOOD","IMP","MLN_USD","A","2014",65066.09
"HUN","TRADEGOOD","EXP","MLN_USD","A","2014",97955.26
"HUN","TRADEGOOD","IMP","MLN_USD","A","2014",95127.7
"ISL","TRADEGOOD","EXP","MLN_USD","A","2014",4870.38
"ISL","TRADEGOOD","IMP","MLN_USD","A","2014",4958.821
"IRL","TRADEGOOD","EXP","MLN_USD","A","2014",151866.4
"IRL","TRADEGOOD","IMP","MLN_USD","A","2014",97824.7
"ITA","TRADEGOOD","EXP","MLN_USD","A","2014",516801.8
"ITA","TRADEGOOD","IMP","MLN_USD","A","2014",453902.3
"JPN","TRADEGOOD","EXP","MLN_USD","A","2014",699824.8
"JPN","TRADEGOOD","IMP","MLN_USD","A","2014",798696.1
"KOR","TRADEGOOD","EXP","MLN_USD","A","2014",613020.6
"KOR","TRADEGOOD","IMP","MLN_USD","A","2014",524135.2
"LUX","TRADEGOOD","EXP","MLN_USD","A","2014",27195.35
"LUX","TRADEGOOD","IMP","MLN_USD","A","2014",27278.93
"MEX","TRADEGOOD","EXP","MLN_USD","A","2014",397649.5
"MEX","TRADEGOOD","IMP","MLN_USD","A","2014",400439.6
"NLD","TRADEGOOD","EXP","MLN_USD","A","2014",570064.7
"NLD","TRADEGOOD","IMP","MLN_USD","A","2014",469337
"NZL","TRADEGOOD","EXP","MLN_USD","A","2014",41948.38
"NZL","TRADEGOOD","IMP","MLN_USD","A","2014",40984.78
"NOR","TRADEGOOD","EXP","MLN_USD","A","2014",143531
"NOR","TRADEGOOD","IMP","MLN_USD","A","2014",91073.03
"POL","TRADEGOOD","EXP","MLN_USD","A","2014",210474
"POL","TRADEGOOD","IMP","MLN_USD","A","2014",214796.4
"PRT","TRADEGOOD","EXP","MLN_USD","A","2014",62752.16
"PRT","TRADEGOOD","IMP","MLN_USD","A","2014",75339.48
"SVK","TRADEGOOD","EXP","MLN_USD","A","2014",83032.24
