Title,Rating,Year,Actors,Genre,Runtime
Aloko Udapadi,9.6,2017,"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']","Drama, History            ",113
Dag II,9.4,2016,"['Ozan Agaç', 'Bedii Akin', 'Murat Arkin', 'Eylül Arular']","Drama, War            ",135
Aynabaji,9.4,2016,"['Chanchal Chowdhury', 'Masuma Rahman Nabila', 'Bijori Barkatullah', 'Partho Barua']","Crime, Mystery, Thriller            ",147
Wheels,9.4,2014,"['Donavon Warren', 'Patrick Hume', 'Diana Gettinger', 'Kevin McCorkle']",Drama            ,115
The Dark Knight,9.0,2008,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']","Action, Crime, Drama            ",152
Ayla: The Daughter of War,8.9,2017,"['Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol']","Drama, History, War            ",125
Aruvi,8.9,2016,"['Aditi Balan', 'Padmashri Mohammad Ali', 'Pradeep Anthony', 'Arnold']",Drama            ,130
Inception,8.8,2010,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page', 'Ken Watanabe']","Action, Adventure, Sci-Fi            ",148
Vikram Vedha,8.8,2017,"['Vijay Sethupathi', 'Madhavan', 'Kathir', 'Varalaxmi Sarathkumar']","Action, Crime, Thriller            ",147
Drishyam,8.8,2013,"['Mohanlal', 'Meena', 'Ansiba', 'Esther']","Crime, Drama, Thriller            ",160
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,"['Ramin Karimloo', 'Sierra Boggess', 'Hadley Fraser', 'Wendy Ferguson']","Drama, Music, Musical            ",137
Interstellar,8.6,2014,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']","Adventure, Drama, Sci-Fi            ",169
RangiTaranga,8.6,2015,"['Nirup Bhandari', 'Radhika Chetan', 'Avantika Shetty', 'Sai Kumar']","Adventure, Music, Mystery            ",149
Whiplash,8.5,2014,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']","Drama, Music            ",106
The Intouchables,8.5,2011,"['François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot']","Biography, Comedy, Drama            ",112
Dangal,8.5,2016,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']","Action, Biography, Drama            ",161
Arjun Reddy,8.5,2017,"['Vijay Deverakonda', 'Shalini Pandey', 'Amit Sharma', 'Rahul Ramakrishna']","Action, Drama, Romance            ",182
Dhuruvangal Pathinaaru,8.5,2016,"['Rahman', 'Prakash Raghavan', 'Sharath Kumar', 'Santhosh Krishna']","Action, Crime, Mystery            ",105
Cyborgs: Heroes Never Die,8.5,2017,"['Vyacheslav Dovzhenko', 'Roman Yasinovsky', 'Andriy Isayenko', 'Viktor Zhdanov']",War            ,112
Thani Oruvan,8.5,2015,"['Jayam Ravi', 'Arvind Swamy', 'Nayanthara', 'Nassar']","Action, Crime, Thriller            ",160
Ulidavaru Kandanthe,8.5,2014,"['Kishore Kumar G.', 'Rakshit Shetty', 'Thara', 'Achyuth Kumar']","Comedy, Crime, Drama            ",154
Coco,8.4,2017,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']","Animation, Adventure, Comedy            ",105
The Dark Knight Rises,8.4,2012,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']","Action, Thriller            ",164
Django Unchained,8.4,2012,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']","Drama, Western            ",165
